,AP Calculus BC,AP Computer Science Principles,AP Music Theory,AP Physics C,AP Statistics,AP US Government,Advanced Drama,Algebra 1,Algebra 2,Amercian Sign Language 3,American Sign Language 1,American Sign Language 2,American Sign Language 4,Art 1: Foundation,Art 2: Interm. 2-D Art,Art 3: Portfolio Preparation,Art 4: Portfolio Preparation,Biology,Black History of the United States,Book Arts 1,Chamber Choir,Chemistry,Chorus,Concert Choir,Dance Company,Digital Music Production: Mixing,Digital Music Production: Recording,Engineering & Design Thinking,English 10,English 11,English 12,English 6,English 7,English 8,English 9,Financial Mathematics,Geography,Geometry,Government Cabinet,HS Fitness,Health & Wellness A,Health & Wellness B,History 10,History 7,History 8,History 9,Honors Advanced Biology,Honors Advanced Chemistry,Honors Differential Equations,Honors History 10,Honors Latin: Vergil's Aeneid,Honors Linear Algebra,Honors Physics,Honors Spanish: Advanced Conversation and Literature,Honors US History Practicum,Human Biology,Instrument Ensemble,Intro to Drama,Jazz Choir,Jazz Ensemble,Latin 1,Latin 2,Latin 3,MS Arts 8: Dance,MS Arts 8: Drama,MS Arts: Chorus,MS Arts: Visual Arts,Marine Biology,Mathematical Problem Solving,Photography 1,Pre-Algebra,Pre-Calculus,Psychology,SELPH,SELPH 8,STEAM,Science 6: Earth Science,Science 7: Life Science,Science 8: Physical Science,Spanish 1,Spanish 2,Spanish 3,String Methods,Study Hall,US History,Yearbook
HS Fitness,2,1,0,2,2,1,0,0,4,1,1,1,0,4,2,1,0,2,0,0,1,4,0,1,0,0,1,0,4,5,2,0,0,0,2,1,0,3,0,13,3,5,4,0,0,2,0,0,0,1,1,0,0,0,5,4,2,2,0,0,0,0,1,0,0,0,0,5,0,3,0,1,2,0,0,0,0,0,0,0,2,1,1,4,5,1
Health & Wellness A,1,4,0,0,1,0,1,0,9,2,1,1,2,11,4,0,0,21,0,0,3,5,0,1,0,4,3,1,5,0,0,0,0,0,21,1,0,8,2,3,26,0,4,0,0,21,0,0,0,3,0,0,0,1,0,0,3,2,0,1,0,1,4,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,3,5,1,1,8,0,0
Health & Wellness B,8,14,5,7,5,10,2,0,6,1,0,0,1,5,3,1,1,0,0,4,4,0,0,0,1,0,0,2,0,22,13,0,0,0,0,6,0,0,1,5,0,35,0,0,0,0,9,0,1,0,4,2,4,7,22,14,0,1,4,5,0,0,2,0,0,0,0,16,0,6,0,5,4,0,0,0,0,0,0,0,0,4,1,5,20,1
History 10,1,2,1,0,1,0,0,0,7,3,2,1,2,2,3,0,0,0,0,0,0,12,0,0,0,1,1,1,12,0,0,0,0,0,0,0,0,3,2,4,4,0,12,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,3,0,1,4,0,0
History 7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,13,0,0,0,5,0,0,13,0,0,0,13,0,0,0,0,6,8,0,0
History 8,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,5,1,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,7,0,24,24,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0,2,2,0,5,0,0
History 9,0,3,0,0,0,0,1,1,8,0,1,1,0,12,2,0,0,23,0,0,3,0,0,1,0,3,2,2,0,0,0,0,0,0,23,0,0,9,0,2,21,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,4,2,1,8,0,0
Honors Advanced Biology,2,4,2,1,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,3,8,4,0,0,1,1,0,0,1,0,0,0,0,5,0,2,0,3,1,0,0,0,0,0,0,0,0,2,0,1,8,0
Honors Advanced Chemistry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honors Differential Equations,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honors History 10,1,1,1,0,1,0,1,0,7,3,0,0,3,1,5,0,0,0,0,2,1,14,0,0,0,1,2,3,14,0,0,0,0,0,0,1,0,1,2,1,3,0,3,0,0,0,0,0,0,14,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,4,3,0,0,0,0,0,0,0,3,6,0,3,0,0
Honors Latin: Vergil's Aeneid,1,4,0,3,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,6,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
Honors Linear Algebra,0,4,0,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Honors Physics,2,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0,1,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,1,0,6,1,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0
Honors Spanish: Advanced Conversation and Literature,4,2,2,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,2,0,0,0,0,0,2,2,5,3,0,0,0,0,1,0,1,1,0,1,7,2,0,0,0,3,0,0,1,0,1,1,10,5,4,0,0,2,1,0,0,0,0,0,0,0,4,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,2,4,0
Honors US History Practicum,7,7,2,4,3,0,1,0,6,0,0,0,0,4,3,1,0,0,0,2,0,0,0,0,0,0,0,1,0,22,1,0,0,0,0,1,0,0,1,5,0,22,0,0,0,0,8,0,0,0,2,0,4,5,23,11,0,0,0,2,0,0,2,0,0,0,0,12,0,6,0,5,2,0,0,0,0,0,0,0,0,4,1,4,21,1
Human Biology,6,4,0,3,2,4,1,0,4,0,0,0,0,4,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,11,5,0,0,0,0,2,0,0,0,4,0,14,0,0,0,0,4,0,0,1,1,0,0,4,11,17,0,2,0,3,0,0,1,0,0,0,0,15,0,5,0,2,2,0,0,0,0,0,0,0,2,1,1,2,10,1
Instrument Ensemble,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,3,0,0,4,1,2,3,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,3,0,1,1,0,0
Intro to Drama,0,1,0,1,0,4,0,0,5,1,0,0,0,1,1,0,2,2,0,0,0,4,0,0,0,1,1,0,4,0,4,0,0,0,2,2,0,1,0,2,2,1,3,0,0,2,0,0,0,2,1,1,0,0,0,2,0,10,0,0,0,1,1,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,2,1,0,5,0,0
Jazz Choir,0,4,3,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jazz Ensemble,1,4,1,2,1,3,0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,2,3,0,0,0,1,2,0,0,0,0,1,5,0,0,0,1,1,0,1,0,0,0,0,1,2,3,0,0,2,6,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Latin 1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,1,1,0,11,0,0,0,3,0,0,11,1,0,0,11,1,0,0,0,6,6,0,0
Latin 2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,7,7,0,0,0,0,0,0,0,1,0,7,0,0,0,7,0,0,0,0,4,0,0
Latin 3,2,2,0,1,1,0,0,0,2,0,0,0,0,3,0,0,0,5,0,0,1,0,0,1,0,1,1,1,0,2,1,0,0,0,5,1,0,3,0,1,4,2,0,0,0,5,1,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,8,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0
MS Arts 8: Dance,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,5,1,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,7,0,24,24,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0,2,2,0,5,0,0
MS Arts 8: Drama,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,5,1,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,7,0,24,24,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0,2,2,0,5,0,0
MS Arts: Chorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS Arts: Visual Arts,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,13,0,0,0,5,0,0,13,0,0,0,13,0,0,0,0,6,8,0,0
Marine Biology,6,5,1,3,3,4,2,0,5,0,0,0,0,4,1,1,1,0,0,2,1,1,0,0,0,0,0,0,1,12,6,0,0,0,0,2,0,0,0,5,0,16,0,0,0,0,5,0,0,1,2,0,0,4,12,15,0,1,0,3,0,0,1,0,0,0,0,19,0,4,0,2,3,0,0,0,0,0,0,0,1,1,1,4,11,1
Mathematical Problem Solving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Photography 1,3,2,1,2,1,2,0,0,2,1,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,2,6,3,0,0,0,0,2,0,1,2,3,1,6,2,0,0,0,2,0,0,1,0,0,1,1,6,5,0,1,0,1,0,0,0,0,0,0,0,4,0,11,0,2,3,0,0,0,0,0,0,0,1,3,1,2,5,0
Pre-Algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,2,3,0,0
Pre-Calculus,0,3,3,0,2,0,0,0,1,1,0,0,1,0,3,0,0,0,0,1,0,6,0,0,0,1,1,3,6,5,0,0,0,0,0,1,0,0,0,1,2,5,2,0,0,0,3,0,0,4,0,0,1,3,5,2,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,11,0,0,0,0,0,0,0,0,2,3,1,3,3,0
Psychology,4,3,1,2,0,3,0,0,7,1,1,1,1,2,2,0,1,5,0,1,2,3,0,0,0,0,0,0,3,2,4,0,0,0,5,1,0,1,2,2,6,4,3,0,0,5,1,0,0,3,0,0,0,2,2,2,0,3,1,0,0,1,2,0,0,0,0,3,0,3,0,0,14,0,0,0,0,0,0,1,1,1,0,3,2,0
SELPH,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,13,0,0,0,5,0,0,13,0,0,0,13,0,0,0,0,6,8,0,0
SELPH 8,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,23,23,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0,1,2,0,5,0,0
STEAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Science 6: Earth Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Science 7: Life Science,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,13,0,0,0,5,0,0,13,0,0,0,13,0,0,0,0,6,8,0,0
Science 8: Physical Science,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,23,23,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0,1,2,0,5,0,0
Spanish 1,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0
Spanish 2,0,2,2,0,1,1,0,0,7,0,0,0,0,2,1,0,0,4,0,0,1,5,0,0,0,1,1,1,5,0,1,0,0,2,4,1,0,4,1,2,5,0,3,0,2,4,0,0,0,3,0,0,1,0,0,2,3,2,0,0,0,0,0,2,2,0,0,1,0,1,0,2,1,0,1,0,0,0,1,0,12,0,1,3,0,0
Spanish 3,1,1,0,1,0,0,2,2,5,0,0,0,0,1,6,0,0,2,0,1,1,6,0,0,0,0,0,4,6,4,0,0,0,2,2,0,0,2,0,1,1,4,0,0,2,2,2,0,0,6,0,0,0,0,4,1,0,1,0,0,0,0,0,2,2,0,0,1,0,3,0,3,1,0,2,0,0,0,2,0,0,14,0,4,4,0
String Methods,0,1,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,6,0,1,0,0,1,0,1,1,1,1,6,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,6,0,0,0,0,0,6,1,0,1,2,1,0,6,0,0,0,6,0,0,1,0,9,1,0,0
Study Hall,0,5,2,2,1,2,0,4,13,1,2,2,0,5,4,0,0,8,0,0,4,7,0,0,0,2,3,3,7,4,3,0,8,5,8,1,0,7,0,4,8,5,4,8,5,8,1,0,0,3,1,2,1,2,4,2,1,5,0,1,6,4,3,5,5,0,8,4,0,2,3,3,3,8,5,0,0,8,5,2,3,4,1,35,3,0
US History,7,6,2,4,3,0,1,0,6,0,0,0,0,4,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,1,0,0,1,5,0,20,0,0,0,0,8,0,0,0,2,0,3,4,21,10,0,0,0,1,0,0,2,0,0,0,0,11,0,5,0,3,2,0,0,0,0,0,0,0,0,4,0,3,21,1
Yearbook,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
