"Course ID","Course Code","Course Title","School Year"
"299610","M02","Algebra 1","2023 - 2024"
"299616","M04","Algebra 2","2023 - 2024"
"299617","M03","Geometry","2023 - 2024"
"299618","M20","Pre-Calculus","2023 - 2024"
"299619","M15","AP Calculus BC","2023 - 2024"
"299620","M14","AP Statistics","2023 - 2024"
"299621","M16","Honors Linear Algebra","2023 - 2024"
"299622","M17","Honors Differential Equations","2023 - 2024"
"299623","M26","Financial Mathematics","2023 - 2024"
"299624","M25","Mathematical Problem Solving","2023 - 2024"
"299625","M01","Pre-Algebra","2023 - 2024"
"299626","E06","English 6","2023 - 2024"
"299627","E07","English 7","2023 - 2024"
"299628","E08","English 8","2023 - 2024"
"299629","E09","English 9","2023 - 2024"
"299630","E10","English 10","2023 - 2024"
"299644","SS02","STEAM","2023 - 2024"
"299645","S6","Science 6: Earth Science","2023 - 2024"
"299646","S01","Science 7: Life Science","2023 - 2024"
"299647","S02","Science 8: Physical Science","2023 - 2024"
"299648","S05","Biology","2023 - 2024"
"299649","S04","Chemistry","2023 - 2024"
"299652","S27","Honors Physics","2023 - 2024"
"299655","S32","Honors Advanced Biology","2023 - 2024"
"299656","S33","Honors Advanced Chemistry","2023 - 2024"
"299657","S10","Human Biology","2023 - 2024"
"299658","S11","Marine Biology","2023 - 2024"
"299660","S28","AP Physics C","2023 - 2024"
"299661","HMG6","Geography","2023 - 2024"
"299662","H07","History 7","2023 - 2024"
"299663","H08","History 8","2023 - 2024"
"299664","H09","History 9","2023 - 2024"
"299666","H10","History 10","2023 - 2024"
"299667","H10H","Honors History 10","2023 - 2024"
"299668","H05","US History","2023 - 2024"
"299669","H06","Honors US History Practicum","2023 - 2024"
"299670","H19","AP US Government","2023 - 2024"
"299677","LLO1","Latin 1","2023 - 2024"
"299678","LL02","Latin 2","2023 - 2024"
"299679","LL03","Latin 3","2023 - 2024"
"299681","LS01","Spanish 1","2023 - 2024"
"299682","LS02","Spanish 2","2023 - 2024"
"299683","LS03","Spanish 3","2023 - 2024"
"299686","HS04","Health & Wellness A","2023 - 2024"
"299687","HS05","Health & Wellness B","2023 - 2024"
"299689","HM04","Psychology","2023 - 2024"
"299695","A03","Art 1: Foundation","2023 - 2024"
"299696","A04","Art 2: Interm. 2-D Art","2023 - 2024"
"299697","A05","Art 3: Portfolio Preparation","2023 - 2024"
"299698","A06","Art 4: Portfolio Preparation","2023 - 2024"
"299703","A10","Book Arts 1","2023 - 2024"
"299706","MUS06","Chorus","2023 - 2024"
"299707","MUS13","Concert Choir","2023 - 2024"
"299708","MUS05","Chamber Choir","2023 - 2024"
"299709","MUS02","Jazz Choir","2023 - 2024"
"299710","MUS12","String Methods","2023 - 2024"
"299713","MUS08","Jazz Ensemble","2023 - 2024"
"299714","PE04","HS Fitness","2023 - 2024"
"299716","PE09","Dance Company","2023 - 2024"
"299721","A57","Photography 1","2023 - 2024"
"299726","HM06","Yearbook","2023 - 2024"
"299729","PE20","SELPH 8","2023 - 2024"
"299735","A33","MS Arts 8: Dance","2023 - 2024"
"299736","A30","MS Arts 8: Drama","2023 - 2024"
"301946","","Study Hall","2023 - 2024"
"309138","H27","Government Cabinet","2023 - 2024"
"310868","E11","English 11","2023 - 2024"
"310870","E12","English 12","2023 - 2024"
"312100","MUS07","AP Music Theory","2023 - 2024"
"316608","LL14","Honors Latin: Vergil's Aeneid","2023 - 2024"
"335127","A43","Advanced Drama","2023 - 2024"
"335128","LASL05","American Sign Language 1","2023 - 2024"
"335129","LASL06","American Sign Language 2","2023 - 2024"
"335335","A39","Intro to Drama","2023 - 2024"
"339508","PE25","SELPH","2023 - 2024"
"339509","A41","MS Arts: Visual Arts","2023 - 2024"
"339640","LS17","Honors Spanish: Advanced Conversation and Literature","2023 - 2024"
"353725","H32","Black History of the United States","2023 - 2024"
"353726","CS34","AP Computer Science Principles","2023 - 2024"
"353727","LASL07","Amercian Sign Language 3","2023 - 2024"
"353728","LASL08","American Sign Language 4","2023 - 2024"
"353838","MUS22","Digital Music Production: Recording","2023 - 2024"
"353839","MUS23","Digital Music Production: Mixing","2023 - 2024"
"353842","CS35","Engineering & Design Thinking","2023 - 2024"
"353872","MUS17","Instrument Ensemble","2023 - 2024"
"299610","M02","Algebra 1","2023 - 2024"
"299616","M04","Algebra 2","2023 - 2024"
"299617","M03","Geometry","2023 - 2024"
"299618","M20","Pre-Calculus","2023 - 2024"
"299619","M15","AP Calculus BC","2023 - 2024"
"299620","M14","AP Statistics","2023 - 2024"
"299621","M16","Honors Linear Algebra","2023 - 2024"
"299622","M17","Honors Differential Equations","2023 - 2024"
"299623","M26","Financial Mathematics","2023 - 2024"
"299624","M25","Mathematical Problem Solving","2023 - 2024"
"299625","M01","Pre-Algebra","2023 - 2024"
"299626","E06","English 6","2023 - 2024"
"299627","E07","English 7","2023 - 2024"
"299628","E08","English 8","2023 - 2024"
"299629","E09","English 9","2023 - 2024"
"299630","E10","English 10","2023 - 2024"
"299645","S6","Science 6: Earth Science","2023 - 2024"
"299646","S01","Science 7: Life Science","2023 - 2024"
"299647","S02","Science 8: Physical Science","2023 - 2024"
"299648","S05","Biology","2023 - 2024"
"299649","S04","Chemistry","2023 - 2024"
"299652","S27","Honors Physics","2023 - 2024"
"299655","S32","Honors Advanced Biology","2023 - 2024"
"299656","S33","Honors Advanced Chemistry","2023 - 2024"
"299657","S10","Human Biology","2023 - 2024"
"299658","S11","Marine Biology","2023 - 2024"
"299660","S28","AP Physics C","2023 - 2024"
"299661","HMG6","Geography","2023 - 2024"
"299662","H07","History 7","2023 - 2024"
"299663","H08","History 8","2023 - 2024"
"299664","H09","History 9","2023 - 2024"
"299666","H10","History 10","2023 - 2024"
"299667","H10H","Honors History 10","2023 - 2024"
"299668","H05","US History","2023 - 2024"
"299669","H06","Honors US History Practicum","2023 - 2024"
"299670","H19","AP US Government","2023 - 2024"
"299677","LLO1","Latin 1","2023 - 2024"
"299678","LL02","Latin 2","2023 - 2024"
"299679","LL03","Latin 3","2023 - 2024"
"299681","LS01","Spanish 1","2023 - 2024"
"299682","LS02","Spanish 2","2023 - 2024"
"299683","LS03","Spanish 3","2023 - 2024"
"299686","HS04","Health & Wellness A","2023 - 2024"
"299687","HS05","Health & Wellness B","2023 - 2024"
"299689","HM04","Psychology","2023 - 2024"
"299695","A03","Art 1: Foundation","2023 - 2024"
"299696","A04","Art 2: Interm. 2-D Art","2023 - 2024"
"299697","A05","Art 3: Portfolio Preparation","2023 - 2024"
"299698","A06","Art 4: Portfolio Preparation","2023 - 2024"
"299703","A10","Book Arts 1","2023 - 2024"
"299706","MUS06","Chorus","2023 - 2024"
"299707","MUS13","Concert Choir","2023 - 2024"
"299708","MUS05","Chamber Choir","2023 - 2024"
"299709","MUS02","Jazz Choir","2023 - 2024"
"299710","MUS12","String Methods","2023 - 2024"
"299713","MUS08","Jazz Ensemble","2023 - 2024"
"299714","PE04","HS Fitness","2023 - 2024"
"299716","PE09","Dance Company","2023 - 2024"
"299721","A57","Photography 1","2023 - 2024"
"299726","HM06","Yearbook","2023 - 2024"
"299729","PE20","SELPH 8","2023 - 2024"
"299735","A33","MS Arts 8: Dance","2023 - 2024"
"299736","A30","MS Arts 8: Drama","2023 - 2024"
"301946","","Study Hall","2023 - 2024"
"309138","H27","Government Cabinet","2023 - 2024"
"310868","E11","English 11","2023 - 2024"
"310870","E12","English 12","2023 - 2024"
"312100","MUS07","AP Music Theory","2023 - 2024"
"316608","LL14","Honors Latin: Vergil's Aeneid","2023 - 2024"
"335127","A43","Advanced Drama","2023 - 2024"
"335129","LASL06","American Sign Language 2","2023 - 2024"
"335335","A39","Intro to Drama","2023 - 2024"
"339508","PE25","SELPH","2023 - 2024"
"339509","A41","MS Arts: Visual Arts","2023 - 2024"
"339640","LS17","Honors Spanish: Advanced Conversation and Literature","2023 - 2024"
"353725","H32","Black History of the United States","2023 - 2024"
"353726","CS34","AP Computer Science Principles","2023 - 2024"
"353728","LASL08","American Sign Language 4","2023 - 2024"
"353838","MUS22","Digital Music Production: Recording","2023 - 2024"
"353839","MUS23","Digital Music Production: Mixing","2023 - 2024"
"353842","CS35","Engineering & Design Thinking","2023 - 2024"
"353872","MUS17","Instrument Ensemble","2023 - 2024"
"353873","A48","MS Arts: Chorus","2023 - 2024"
